Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
92194,2014-01-01,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,0,0,0
92704,2014-01-03,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,0,0,0
94514,2014-01-05,Pennsylvania,Erie,829 Parade St,1,3,0,0,0
95146,2014-01-11,Mississippi,Jackson,3430 W. Capitol Street,0,4,0,0,0
95500,2014-01-12,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,0,0,8
95550,2014-01-12,Alabama,Huntsville,University Drive,0,5,0,0,0
95579,2014-01-12,Illinois,Elgin,300 block of North St,0,5,0,0,0
96185,2014-01-13,Michigan,Detroit,800 block of Calvert St,0,4,0,0,0
96792,2014-01-14,California,Los Angeles,West 86th Street,0,4,0,0,0
97365,2014-01-16,Utah,Spanish Fork,37 N 630 West,4,0,1,0,0
97407,2014-01-16,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,1,4,1,0,0
104902,2014-01-20,Virginia,Manassas,8509 Rixlew Ln,0,4,0,0,0
98836,2014-01-21,New Jersey,Newark,Springfield Avenue ,2,3,0,0,0
100568,2014-01-25,Florida,Belle Glade,600 block of Covenant Drive,0,4,0,0,0
100434,2014-01-25,Illinois,Chicago,S Union Ave and W 51st St,1,4,0,0,0
113665,2014-01-27,Washington,Seattle,2nd Avenue South and South Main Street,1,4,0,0,1
101301,2014-01-27,North Carolina,Rocky Mount,821 Word Plaza,0,4,0,0,1
140117,2014-01-30,Texas,Cypress,14015 Fosters Creek Dr,4,0,0,0,1
103698,2014-02-03,Indiana,Franklin,2100 block of Bridlewood Dr,2,2,1,0,0
104218,2014-02-05,Illinois,Chicago,6740 N Clark St,1,3,0,0,0
105010,2014-02-06,Louisiana,New Orleans,4600 block of Downman Road,0,4,0,0,0
104721,2014-02-07,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,0,0,0
106394,2014-02-12,Indiana,Gary,2220 block of Broadway,0,4,0,1,0
106481,2014-02-12,California,Oakland,37th and International ,1,3,0,0,0
106243,2014-02-12,California,Stockton,1101 E Lindsay St,1,3,0,0,0
107403,2014-02-15,Nevada,Las Vegas,Sahara and Maryland ,0,5,0,0,0
107433,2014-02-16,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,0,0,0
108659,2014-02-16,Texas,Fort Worth, 115 NW 25th St.,1,4,0,0,0
107417,2014-02-16,Florida,Orlando (Pine Hills),4500 block of Charlene Terrace,1,6,0,0,0
107673,2014-02-16,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,0,0,0
107519,2014-02-16,Texas,Dallas,2600 block of South Harwood Street,1,7,0,0,0
108691,2014-02-20,Indiana,Indianapolis,3200 block of S Parker Ave,4,0,0,0,1
108649,2014-02-20,California,Alturas,300 W 1st St,4,1,0,0,1
109142,2014-02-22,California,Wilmington,1200 block of W Papeete St,0,4,0,0,0
109957,2014-02-25,Virginia,Glade Spring,33325 Graceland Ln,3,1,1,0,0
111095,2014-03-01,Pennsylvania,Pittsburgh,Hamilton Ave,1,4,0,0,1
112415,2014-03-05,South Carolina,Pelzer,Law St,3,1,0,0,1
113255,2014-03-08,California,Richmond,1600 block of First Street,1,3,0,0,0
113214,2014-03-08,Illinois,Chicago,4900 West Race Ave,0,6,0,0,0
113247,2014-03-09,Texas,Austin,4900 block of West Race Avenue,0,6,0,0,0
113156,2014-03-09,Ohio,Fremont,531 W State St,3,1,0,0,0
115012,2014-03-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,0,0,0
125855,2014-03-16,Georgia,Waynesboro,4960 Highway 80 West ,0,4,0,0,0
117591,2014-03-16,Texas,Beaumont,S 4th St,3,1,0,0,1
117642,2014-03-21,South Carolina,North Charleston,7550 Dorchester Road,0,4,0,0,0
117914,2014-03-23,California,San Francisco,Turk St and Taylor St,0,7,0,0,0
172722,2014-03-23,California,Long Beach,601 Long Beach Boulevard,1,3,0,0,0
117818,2014-03-23,Texas,Arlington,2700 Majesty Drive,1,3,0,0,0
120303,2014-03-30,North Carolina,Charlotte,4300 Sunset Road,0,5,0,0,0
120621,2014-03-30,Mississippi,Starkville,2938 Rockhill Rd,0,5,0,0,1
121031,2014-04-02,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,3,16,1,0,0
122672,2014-04-05,California,Fairfield,Orchid Street ,0,4,0,0,0
122612,2014-04-05,Arizona,Phoenix,5400 block of W Palm Ln,1,3,0,0,0
