month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2023-09,Alabama,10342.0,145.0,15421.0,12848.0,1156.0,1052,0.0,14.0,2.0,1.0,2451.0,1001.0,18.0,40.0,0.0,0.0,0.0,0.0,29.0,21.0,14.0,0.0,1.0,0.0,44556
2023-09,Alaska,188.0,10.0,2429.0,2543.0,262.0,197,0.0,0.0,0.0,0.0,160.0,87.0,1.0,29.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5922
2023-09,Arizona,9113.0,2014.0,14398.0,8239.0,1575.0,931,0.0,14.0,1.0,2.0,1254.0,404.0,8.0,214.0,9.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,38189
2023-09,Arkansas,2139.0,181.0,5645.0,6108.0,437.0,466,6.0,8.0,5.0,1.0,1237.0,949.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,2.0,0.0,0.0,0.0,17207
2023-09,California,28611.0,15559.0,33792.0,20548.0,4295.0,0,0.0,1.0,1.0,0.0,871.0,445.0,31.0,2185.0,1283.0,56.0,0.0,0.0,7289.0,3093.0,529.0,26.0,10.0,0.0,118625
2023-09,Colorado,7012.0,19.0,16429.0,12217.0,1475.0,1872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39320
2023-09,Connecticut,6120.0,520.0,4723.0,1797.0,350.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,85.0,5.0,0.0,0.0,0.0,13784
2023-09,Delaware,177.0,0.0,1608.0,1039.0,76.0,91,0.0,0.0,0.0,0.0,22.0,15.0,0.0,76.0,0.0,0.0,0.0,0.0,40.0,11.0,0.0,0.0,0.0,0.0,3155
2023-09,District of Columbia,674.0,0.0,202.0,15.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929
2023-09,Florida,8399.0,0.0,51223.0,20945.0,4528.0,3085,0.0,6.0,1.0,0.0,4062.0,990.0,10.0,1374.0,108.0,2.0,0.0,0.0,259.0,141.0,54.0,47.0,45.0,2.0,95281
2023-09,Georgia,10171.0,0.0,14264.0,9395.0,930.0,800,0.0,16.0,8.0,2.0,2219.0,870.0,12.0,69.0,0.0,0.0,0.0,0.0,19.0,6.0,2.0,0.0,0.0,0.0,38783
2023-09,Guam,0.0,0.0,140.0,77.0,13.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233
2023-09,Hawaii,1685.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689
2023-09,Idaho,3325.0,140.0,4475.0,5422.0,451.0,325,1.0,0.0,1.0,0.0,332.0,356.0,3.0,76.0,13.0,5.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,14935
2023-09,Illinois,191538.0,0.0,19675.0,10357.0,786.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222356
2023-09,Indiana,366.0,23635.0,16104.0,11963.0,1480.0,928,5.0,2.0,4.0,0.0,925.0,364.0,25.0,94.0,5.0,0.0,0.0,0.0,27.0,21.0,6.0,1.0,0.0,0.0,55955
2023-09,Iowa,3030.0,4008.0,2027.0,2936.0,123.0,86,1.0,2.0,1.0,0.0,43.0,39.0,1.0,51.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12368
2023-09,Kansas,1572.0,6.0,4738.0,5289.0,627.0,411,1.0,3.0,5.0,0.0,532.0,247.0,5.0,85.0,7.0,1.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,13542
2023-09,Kentucky,509.0,264196.0,8369.0,7610.0,472.0,583,25.0,16.0,7.0,0.0,1790.0,947.0,6.0,49.0,6.0,0.0,0.0,0.0,22.0,13.0,1.0,1.0,0.0,0.0,284622
2023-09,Louisiana,1586.0,418.0,9390.0,10164.0,746.0,733,0.0,3.0,0.0,0.0,927.0,524.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,24513
2023-09,Maine,317.0,6.0,3096.0,4646.0,303.0,229,1.0,1.0,0.0,0.0,87.0,65.0,0.0,21.0,9.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,8791
2023-09,Mariana Islands,0.0,0.0,6.0,9.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2023-09,Maryland,8624.0,41.0,6291.0,5594.0,105.0,7,0.0,0.0,2.0,0.0,82.0,95.0,1.0,93.0,11.0,21.0,0.0,0.0,0.0,19.0,2.0,0.0,2.0,1.0,20991
2023-09,Massachusetts,7758.0,1.0,4306.0,2586.0,1066.0,242,5.0,0.0,0.0,1.0,7.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,37.0,9.0,3.0,1.0,0.0,16086
2023-09,Michigan,15744.0,5197.0,16471.0,16313.0,1647.0,774,0.0,0.0,0.0,1.0,30.0,269.0,5.0,111.0,16.0,1.0,0.0,0.0,32.0,9.0,1.0,1.0,0.0,0.0,56622
