Year_Month_State,Incident Date,State,Incident City,Incident Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Year,Unemployment Rate,Year_Month,Month_Name,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other
2014-01 Alabama,2014-01-12,Alabama,Huntsville,University Drive,0.0,5.0,0.0,0.0,0.0,2014,6.6,2014-01,January,21881.0,,12371.0,12790.0,579.0,583.0,0.0,8.0,16.0,1.0,1960.0,1941.0,8.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 California,2014-01-14,California,Los Angeles,West 86th Street,0.0,4.0,0.0,0.0,0.0,2014,6.6,2014-01,January,33962.0,,33834.0,27585.0,3822.0,0.0,0.0,0.0,0.0,0.0,418.0,412.0,21.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Florida,2014-01-25,Florida,Belle Glade,600 block of Covenant Drive,0.0,4.0,0.0,0.0,0.0,2014,6.6,2014-01,January,16053.0,,37372.0,22370.0,1671.0,1519.0,142.0,14.0,8.0,0.0,2089.0,1101.0,3.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Illinois,2014-01-12,Illinois,Elgin,300 block of North St,0.0,5.0,0.0,0.0,0.0,2014,6.6,2014-01,January,89150.0,,20164.0,11190.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Illinois,2014-01-25,Illinois,Chicago,S Union Ave and W 51st St,1.0,4.0,0.0,0.0,0.0,2014,6.6,2014-01,January,89150.0,,20164.0,11190.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Louisiana,2014-01-12,Louisiana,Tallulah,3600 block of Highway 80 W,0.0,6.0,0.0,0.0,8.0,2014,6.6,2014-01,January,0.0,,9395.0,10294.0,495.0,418.0,0.0,1.0,4.0,0.0,962.0,1015.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Michigan,2014-01-13,Michigan,Detroit,800 block of Calvert St,0.0,4.0,0.0,0.0,0.0,2014,6.6,2014-01,January,14010.0,,7388.0,7414.0,355.0,153.0,0.0,0.0,3.0,0.0,5.0,295.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 Mississippi,2014-01-11,Mississippi,Jackson,3430 W. Capitol Street,0.0,4.0,0.0,0.0,0.0,2014,6.6,2014-01,January,688.0,,5347.0,5946.0,166.0,257.0,5.0,31.0,48.0,1.0,1053.0,1357.0,3.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 New Jersey,2014-01-21,New Jersey,Newark,Springfield Avenue ,2.0,3.0,0.0,0.0,0.0,2014,6.6,2014-01,January,0.0,,4461.0,3337.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
2014-01 New York,2014-01-03,New York,Queens,Farmers Boulevard and 133rd Avenue,1.0,3.0,0.0,0.0,0.0,2014,6.6,2014-01,January,4196.0,,8356.0,11964.0,704.0,137.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,,,,0.0,,106.0,63.0,5.0,5.0,2.0,
2014-01 North Carolina,2014-01-27,North Carolina,Rocky Mount,821 Word Plaza,0.0,4.0,0.0,0.0,1.0,2014,6.6,2014-01,January,24661.0,,743.0,11645.0,457.0,209.0,0.0,10.0,14.0,0.0,1792.0,2271.0,2.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
